Date,Cashflow
09/11/2023,-1375.35
10/11/2023,-1375.35
12/11/2023,-1375.35
13/11/2023,-1375.35
15/11/2023,-1375.35
16/11/2023,-1375.35
17/11/2023,-1375.35
20/11/2023,-1375.35
21/11/2023,-1375.35
22/11/2023,-1375.35
23/11/2023,-1375.35
24/11/2023,-1375.35
28/11/2023,-1375.35
29/11/2023,-1375.35
30/11/2023,-1375.35
01/12/2023,-1375.35
04/12/2023,-1375.35
05/12/2023,-1375.35
06/12/2023,-1375.35
07/12/2023,-1375.35
08/12/2023,-1375.35
11/12/2023,-1375.35
12/12/2023,-1375.35
13/12/2023,-1375.35
14/12/2023,-1375.35
15/12/2023,-1375.35
18/12/2023,-1375.35
19/12/2023,-1375.35
20/12/2023,-1375.35
21/12/2023,-1375.35
22/12/2023,-1375.35
26/12/2023,-1375.35
27/12/2023,-1375.35
28/12/2023,-1375.35
29/12/2023,-1375.35
01/01/2024,-1375.35
